Title,Sentiment,Withhold
Earthquake-damaged Fukushima nuclear power plant triggers evacuation,-0.2,0.44999999999999973
"Boxee, Used to View Web on TV, Generates Buzz",-0.1,0.3
Looking Back in Anger at the Crisis,0.1,0.4500000000000002
Australian researchers confirm stress makes you sick,-0.9,0.44999999999999996
U.S. Kills 5 Afghans in Raid on House,0.4,0
"Militants in Pakistan torch NATO, US military vehicles",0e+00,0
Nineteen-year sentence for murder handed down to music producer Phil Spector,-0.6,0.14999999999999997
Large bomb defused in Northern Ireland,0.8,0.4500000000000002
Martial law declared in Philippine province after massacre,0e+00,0.4499999999999999
Prisons in New Zealand to introduce mobile phone jamming technology,0e+00,0.45000000000000007
Massive blackouts hit Florida,0e+00,0.44999999999999984
TeleSUR promotional campaign causes controversy in Colombia,-0.7,0.14999999999999974
"As Mumbai Spills Over, Floodwater Creeps Closer",0.2,0.44999999999999996
Autopsy reveals that Terri Schiavo was in a persistent vegetative state,-0.2,0.45000000000000007
New Reactors Must Handle Plane Strike,0e+00,0.4500000000000002
Investor Group  Takes Madoff to Bankruptcy Court,0.4,0.44999999999999996
Obama Reverses Rules on U.S. Abortion Aid,0e+00,0.45000000000000007
Professor sought after three die in Georgia shooting,0.2,0.21000000000000013
"N.B.A. Union Willing to Talk, Not Surrender",-0.1,0.45000000000000007
Prosecutors begin NY State Sen. Hiram Monserrate felony assault case,-0.4,0.3
Israel undergoes major emergency drill,0e+00,0.4500000000000002
"Of Joy and Despair, in Life as in Sports",0e+00,0.7999999999999999
"Thirteen dead, several wounded in Fort Hood, Texas shooting",-0.6,0.14999999999999974
Stressed plants produce aspirin-like chemical,-0.3,0.44999999999999996
Home Secretary says about 30 major conspiracies threaten UK this Christmas,-0.8,0
Ghana's first female Chief Justice receives award,0.1,0.44999999999999996
"Meet Intel, Software Maker and Rival to Microsoft",0e+00,0.1650000000000001
Bangladeshi Premier Faces a Grim Crucible,0.4,0.44999999999999984
Moscow Police Crush Gay Rights Rally,0.3,0.44999999999999996
Poland issues EU warrant for Swede suspected of stealing Auschwitz sign,-0.7,0
Cricket: India beat Pakistan in Visakhapatnam ODI,0e+00,0.34500000000000014
2nd-Largest Mall Operator Files for Bankruptcy,0e+00,0.44999999999999996
"In Need of Goaltending Help, the Islanders Bring Back Wade Dubielewicz",-0.5,0.4499999999999999
"Lawmaker Leaving Iraq Is Detained, Then Freed",0e+00,0.44999999999999996
